Здесь содержится информация о входных данных
Вид: название входного файла с предметами: их перечисление; название файла с многоугольником; результат
1.jpeg: игрушка, значок; triangle.jpeg; true
2.jpeg: игрушка, ножницы, прищепка; pentagon.jpeg; false
3.jpeg: игрушка, ножницы, прищепка, значок; square.jpeg; true
4.jpeg: игрушка, ножницы, прищепка, значок, монета; square.jpeg; true
5.jpeg: игрушка, ножницы, значок, монета; hexagon.jpeg; false
6.jpeg: ножницы, значок, монета; hexagon.jpeg; false
7.jpeg: значок, монета; pentagon.jpeg; true
8.jpeg: прищепка, значок, монета; pentagon.jpeg; true
9.jpeg: лента, прищепка, значок, монета; hexagon.jpeg; true
10.jpeg: игрушка, лента, прищепка, значок, монета; hexagon.jpeg; true
11.jpeg: бегунок, игрушка, лента, прищепка, значок, монета; triangle.jpeg; true
12.jpeg: бегунок, игрушка, лента, прищепка, значок; pentagon.jpeg; false
13.jpeg: бегунок, игрушка, прищепка, значок; pentagon.jpeg; false
14.jpeg: бегунок, прищепка, значок; pentagon.jpeg; true
15.jpeg: бегунок, прищепка, игрушка; pentagon.jpeg; true
16.jpeg: батарейка, прищепка, игрушка; pentagon.jpeg; true
17.jpeg: клей, прищепка, ножницы; square.jpeg; true
18.jpeg: клей, ручка, ножницы; square.jpeg; true
19.jpeg: прищепка; pentagon.jpeg; true  (так как пентагон самый маленький из представленных фигур, то проверяется, что все одиночные предметы туда помещаются (так как, если они поместились в самую маленькую фигуру, то поместятся и в более большие))
20.jpeg: бегунок; pentagon.jpeg; true
21.jpeg: монета; pentagon.jpeg; true
22.jpeg: значок; pentagon.jpeg; true
23.jpeg: батарейка; pentagon.jpeg; true
24.jpeg: игрушка; pentagon.jpeg; true
25.jpeg: лента; pentagon.jpeg; true
26.jpeg: ножницы; triangle.jpeg; false
27.jpeg: клей; triangle.jpeg; false
28.jpeg: прищепка, батарейка; pentagon.jpeg; true
29.jpeg: ручка, батарейка; triangle.jpeg; true
30.jpeg: ручка, батарейка, лента, монета; triangle.jpeg; true (если есть место для ленты, то автоматически и для монеты, так как монета может располагаться внутри ленты не касаясь ее)
31.jpeg: ручка, батарейка, монета, бегунок, прищепка, клей; square.jpeg; true (из случая 26 и 29 делаем вывод, что нужно проверять в квадрате)
32.jpeg: батарейка, прищепка, монета, игрушка, бегунок; triangle.jpeg; true
33.jpeg: батарейка, прищепка, лента, игрушка, бегунок, значок; hexagon.jpeg; true
34.jpeg: лента, игрушка, значок, клей, ножницы, ручка; square.jpeg; true
35.jpeg: лента, значок, клей, ручка; square.jpeg; true
36.jpeg: игрушка, монета, батарейка, бегунок; pentagon.jpeg; true
37.jpeg: игрушка, ножницы; triangle.jpeg; false
